166,22223,4K,48
322,22233,FH,72
165,22224,4K,80
310,33322,FH,108
164,22225,4K,112
2467,22243,3K,120
154,33332,4K,162
2466,22253,3K,168
163,22226,4K,176
3325,33224,2P,180
321,22244,FH,200
162,22227,4K,208
3324,33225,2P,252
2464,22263,3K,264
2401,33342,3K,270
161,22228,4K,272
2465,22254,3K,280
3314,44223,2P,300
160,22229,4K,304
2461,22273,3K,312
159,2222T,4K,368
2400,33352,3K,378
320,22255,FH,392
3323,33226,2P,396
153,33334,4K,405
2457,22283,3K,408
6185,22543,1P,420
2463,22264,3K,440
3303,44332,2P,450
2452,22293,3K,456
158,2222J,4K,464
3322,33227,2P,468
157,2222Q,4K,496
298,44422,FH,500
2460,22274,3K,520
2446,222T3,3K,552
152,33335,4K,567
3292,55223,2P,588
156,2222K,4K,592
2398,33362,3K,594
3321,33228,2P,612
2462,22265,3K,616
5965,33542,1P,630
155,2222A,4K,656
6184,22643,1P,660
309,33344,FH,675
2456,22284,3K,680
3320,33229,2P,684
2439,222J3,3K,696
3313,44225,2P,700
2395,33372,3K,702
2459,22275,3K,728
2431,222Q3,3K,744
2335,44432,3K,750
2451,22294,3K,760
6181,22743,1P,780
3319,3322T,2P,828
3281,55332,2P,882
2422,222K3,3K,888
151,33336,4K,891
2391,33382,3K,918
2445,222T4,3K,920
6183,22653,1P,924
2399,33354,3K,945
2455,22285,3K,952
319,22266,FH,968
3291,55224,2P,980
2412,222A3,3K,984
5964,33642,1P,990
6175,22843,1P,1020
2386,33392,3K,1026
3318,3322J,2P,1044
5745,44532,1P,1050
150,33337,4K,1053
2450,22295,3K,1064
6180,22753,1P,1092
3312,44226,2P,1100
3317,3322Q,2P,1116
297,44433,FH,1125
6165,22943,1P,1140
2458,22276,3K,1144
2438,222J4,3K,1160
5961,33742,1P,1170
2430,222Q4,3K,1240
2380,333T2,3K,1242
142,44442,4K,1250
2444,222T5,3K,1288
3311,44227,2P,1300
308,33355,FH,1323
3316,3322K,2P,1332
318,22277,FH,1352
286,55522,FH,1372
149,33338,4K,1377
6150,22T43,1P,1380
5963,33652,1P,1386
6174,22853,1P,1428
3259,66223,2P,1452
5525,55432,1P,1470
3315,3322A,2P,1476
2421,222K4,3K,1480
2397,33364,3K,1485
2454,22286,3K,1496
5955,33842,1P,1530
148,33339,4K,1539
6182,22654,1P,1540
2373,333J2,3K,1566
3302,44335,2P,1575
6164,22953,1P,1596
2437,222J5,3K,1624
5960,33752,1P,1638
2411,222A4,3K,1640
5744,44632,1P,1650
2449,22296,3K,1672
2365,333Q2,3K,1674
3310,44228,2P,1700
5945,33942,1P,1710
6178,22763,1P,1716
2429,222Q5,3K,1736
6129,22J43,1P,1740
2334,44452,3K,1750
2394,33374,3K,1755
2453,22287,3K,1768
6179,22754,1P,1820
6101,22Q43,1P,1860
147,3333T,4K,1863
141,44443,4K,1875
3309,44229,2P,1900
6149,22T53,1P,1932
5741,44732,1P,1950
2448,22297,3K,1976
2356,333K2,3K,1998
2443,222T6,3K,2024
3215,77223,2P,2028
2269,55532,3K,2058
5930,33T42,1P,2070
2420,222K5,3K,2072
2396,33365,3K,2079
5954,33852,1P,2142
3290,55226,2P,2156
3248,66332,2P,2178
3280,55334,2P,2205
2346,333A2,3K,2214
6065,22K43,1P,2220
6172,22863,1P,2244
2390,33384,3K,2295
2410,222A5,3K,2296
3308,4422T,2P,2300
1608,65432,S,2310
317,22288,FH,2312
146,3333J,4K,2349
6173,22854,1P,2380
2442,222T7,3K,2392
5944,33952,1P,2394
3258,66224,2P,2420
6128,22J53,1P,2436
3270,55442,2P,2450
2393,33375,3K,2457
6020,22A43,1P,2460
3301,44336,2P,2475
6162,22963,1P,2508
145,3333Q,4K,2511
3289,55227,2P,2548
5735,44832,1P,2550
2436,222J6,3K,2552
2385,33394,3K,2565
5958,33762,1P,2574
2447,22298,3K,2584
6100,22Q53,1P,2604
5909,33J42,1P,2610
2333,44453,3K,2625
6169,22873,1P,2652
6163,22954,1P,2660
2428,222Q6,3K,2728
7462,75432,HC,2730
2332,44462,3K,2750
5881,33Q42,1P,2790
5725,44932,1P,2850
6177,22764,1P,2860
316,22299,FH,2888
5929,33T52,1P,2898
3307,4422J,2P,2900
3300,44337,2P,2925
6159,22973,1P,2964
144,3333K,4K,2997
2435,222J7,3K,3016
6147,22T63,1P,3036
3204,77332,2P,3042
285,55533,FH,3087
3306,4422Q,2P,3100
2379,333T4,3K,3105
6064,22K53,1P,3108
2441,222T8,3K,3128
2389,33385,3K,3213
6148,22T54,1P,3220
2427,222Q7,3K,3224
5524,55632,1P,3234
2329,44472,3K,3250
2419,222K6,3K,3256
307,33366,FH,3267
143,3333A,4K,3321
5845,33K42,1P,3330
3288,55228,2P,3332
5952,33862,1P,3366
3214,77224,2P,3380
3257,66225,2P,3388
2268,55542,3K,3430
6019,22A53,1P,3444
5710,44T32,1P,3450
5962,33654,1P,3465
3160,88223,2P,3468
2440,222T9,3K,3496
7458,85432,HC,3570
6144,22T73,1P,3588
2384,33395,3K,3591
2409,222A6,3K,3608
5305,66432,1P,3630
5908,33J52,1P,3654
3269,55443,2P,3675
5800,33A42,1P,3690
3305,4422K,2P,3700
3287,55229,2P,3724
6171,22864,1P,3740
5942,33962,1P,3762
5521,55732,1P,3822
3299,44338,2P,3825
6126,22J63,1P,3828
2418,222K7,3K,3848
5743,44652,1P,3850
2392,33376,3K,3861
6155,22983,1P,3876
5880,33Q52,1P,3906
2372,333J4,3K,3915
2434,222J8,3K,3944
5949,33872,1P,3978
7444,95432,HC,3990
6176,22765,1P,4004
6127,22J54,1P,4060
6098,22Q63,1P,4092
5959,33754,1P,4095
3304,4422A,2P,4100
2331,44463,3K,4125
6161,22964,1P,4180
2364,333Q4,3K,4185
2426,222Q8,3K,4216
315,222TT,FH,4232
2325,44482,3K,4250
2408,222A7,3K,4264
3298,44339,2P,4275
7461,76432,HC,4290
3094,99223,2P,4332
6099,22Q54,1P,4340
2378,333T5,3K,4347
5689,44J32,1P,4350
140,44445,4K,4375
2433,222J9,3K,4408
6168,22874,1P,4420
5939,33972,1P,4446
3286,5522T,2P,4508
6123,22J73,1P,4524
5740,44752,1P,4550
5927,33T62,1P,4554
306,33377,FH,4563
5661,44Q32,1P,4650
5844,33K52,1P,4662
6140,22T83,1P,4692
2425,222Q9,3K,4712
3213,77225,2P,4732
2320,44492,3K,4750
130,55552,4K,4802
7410,T5432,HC,4830
6095,22Q73,1P,4836
3279,55336,2P,4851
2328,44473,3K,4875
6062,22K63,1P,4884
6158,22974,1P,4940
2355,333K4,3K,4995
5515,55832,1P,4998
2417,222K8,3K,5032
2388,33386,3K,5049
6146,22T64,1P,5060
5085,77432,1P,5070
5304,66532,1P,5082
2267,55543,3K,5145
5799,33A52,1P,5166
3297,4433T,2P,5175
6063,22K54,1P,5180
3149,88332,2P,5202
6170,22865,1P,5236
6135,22T93,1P,5244
274,66622,FH,5324
2432,222JT,3K,5336
5953,33854,1P,5355
5924,33T72,1P,5382
5523,55642,1P,5390
6017,22A63,1P,5412
3247,66334,2P,5445
2371,333J5,3K,5481
2345,333A4,3K,5535
5625,44K32,1P,5550
2407,222A8,3K,5576
5505,55932,1P,5586
7457,86432,HC,5610
2416,222K9,3K,5624
2383,33396,3K,5643
3285,5522J,2P,5684
2424,222QT,3K,5704
3278,55337,2P,5733
6018,22A54,1P,5740
5906,33J62,1P,5742
2314,444T2,3K,5750
6059,22K73,1P,5772
5742,44653,1P,5775
3159,88224,2P,5780
5935,33982,1P,5814
6160,22965,1P,5852
2363,333Q5,3K,5859
6119,22J83,1P,5916
